variant,date,baseline,base_position,position
no_dde,2024-01-15,rich,518880.SH,159941.SZ
no_dde,2024-06-12,rich,518880.SH,159941.SZ
no_dde,2024-06-13,rich,513500.SH,159941.SZ
no_dde,2024-06-14,rich,513500.SH,159941.SZ
no_dde,2024-06-17,rich,513500.SH,159941.SZ
no_dde,2024-06-18,rich,513500.SH,159941.SZ
no_dde,2024-06-19,rich,513500.SH,159941.SZ
no_dde,2024-06-20,rich,513500.SH,159941.SZ
no_dde,2024-06-21,rich,513500.SH,159941.SZ
no_dde,2024-06-24,rich,513500.SH,159941.SZ
no_dde,2024-06-25,rich,513500.SH,159941.SZ
no_dde,2024-06-26,rich,513500.SH,159941.SZ
no_dde,2024-06-27,rich,513500.SH,159941.SZ
no_dde,2024-06-28,rich,513500.SH,159941.SZ
no_dde,2024-07-01,rich,513500.SH,159941.SZ
no_dde,2024-07-02,rich,513500.SH,159941.SZ
no_dde,2024-07-03,rich,513500.SH,159941.SZ
no_dde,2024-07-04,rich,513500.SH,159941.SZ
no_dde,2024-07-05,rich,513500.SH,159941.SZ
no_dde,2024-07-08,rich,513500.SH,159941.SZ
no_dde,2024-07-09,rich,513500.SH,159941.SZ
no_dde,2024-07-10,rich,513500.SH,159941.SZ
no_dde,2024-07-11,rich,513500.SH,159941.SZ
no_dde,2024-07-12,rich,513500.SH,159941.SZ
no_dde,2024-07-15,rich,513500.SH,159941.SZ
no_dde,2024-07-16,rich,513500.SH,159941.SZ
no_dde,2024-07-17,rich,513500.SH,159941.SZ
no_dde,2024-07-18,rich,513500.SH,159941.SZ
no_dde,2024-07-19,rich,513500.SH,159941.SZ
no_dde,2024-07-22,rich,513500.SH,159941.SZ
no_dde,2024-07-31,rich,512800.SH,512760.SH
no_dde,2024-08-01,rich,512800.SH,512760.SH
no_dde,2024-08-02,rich,512800.SH,512760.SH
no_dde,2024-08-05,rich,512800.SH,512760.SH
no_dde,2024-08-06,rich,512800.SH,cash
no_dde,2024-08-07,rich,512800.SH,cash
no_dde,2024-09-25,rich,518880.SH,159851.SZ
no_dde,2024-11-19,rich,159851.SZ,cash
no_dde,2024-11-20,rich,159851.SZ,cash
no_dde,2024-11-21,rich,159851.SZ,cash
no_dde,2024-11-22,rich,159851.SZ,cash
no_dde,2024-11-25,rich,159851.SZ,cash
